net,length_um
net683,44.4µm
net388,44.26µm
net468,44.22µm
u_read_arbiter.u_read_qos.m0_burst_count\[1\],44.21µm
clknet_leaf_17_aclk,44.2µm
_2937_,44.06µm
clknet_leaf_46_aclk,44.06µm
_0645_,44.02µm
_1907_,43.9µm
_1134_,43.82µm
_2875_,43.8µm
_0521_,43.76µm
_1285_,43.76µm
_3127_,43.63µm
u_write_arbiter.w_buf_data\[27\],43.62µm
u_write_arbiter.w_buf_data\[101\],43.56µm
net733,43.54µm
clknet_leaf_72_aclk,42.96µm
net344,42.82µm
_0643_,42.67µm
_1589_,42.605µm
_2149_,42.52µm
_1154_,42.46µm
net367,42.42µm
net374,42.3µm
_2922_,42.28µm
_0572_,42.26µm
net207,42.14µm
clknet_leaf_9_aclk,42.135µm
net644,42.12µm
u_write_arbiter.aw_buf_addr\[117\],42.02µm
_1577_,41.96µm
u_write_arbiter.w_buf_strb\[14\],41.67µm
u_write_arbiter.w_buf_data\[28\],41.64µm
_2853_,41.62µm
_2422_,41.58µm
_0932_,41.44µm
u_write_arbiter.u_write_qos.m0_burst_count\[6\],41.32µm
clknet_leaf_60_aclk,41.32µm
u_read_arbiter.u_read_qos.budget_3\[3\],41.22µm
_1782_,41.15µm
net202,41.14µm
net356,40.96µm
_3065_,40.81µm
_2130_,40.76µm
u_read_arbiter.u_read_qos.age_m3\[4\],40.64µm
